choice,reward,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,t
3,0,1,3,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,23,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,2,1,2,35,5,0,11,0,6,3,0,0,2,2,0,0,0,0,0,0,1,0,53,0,0,0,3,0,0,0,0,0,27,0,0,0,5,0,0,1,0,1,0,0,0,6,0,0,0,0,3,0,1,5,1,0,0,10,1
4,0,14,4,0,39,0,0,16,0,0,0,1,0,0,92,0,0,0,0,7,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,1,0,4,2,0,0,0,0,2,0,0,0,5,0,1,0,0,0,2,0,0,17,0,0,0,0,0,0,0,5,1,3,12,0,4,0,4,20,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,5,0,2,0,7,1,0,5,2,0,0,8,2
4,0,34,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,8,0,0,0,3,0,0,1,2,1,37,4,0,0,0,1,0,0,1,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,13,14,9,1,3,0,0,0,0,0,0,0,33,0,0,1,2,29,0,0,0,0,0,0,0,17,0,0,3
4,0,42,0,3,50,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,3,32,6,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,2,14,6,0,2,0,0,0,0,0,0,0,35,0,0,1,0,25,0,0,0,0,0,0,0,12,0,0,4
3,0,28,0,0,40,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,1,0,0,0,3,2,21,1,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,36,12,17,9,0,6,0,0,0,0,0,0,0,43,0,0,0,0,16,0,0,0,0,0,0,0,24,0,0,5
2,0,34,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,1,0,0,0,4,1,37,2,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,11,11,6,0,2,0,0,0,0,0,0,0,26,0,0,2,0,28,0,0,0,0,0,0,0,15,0,1,6
2,0,39,0,1,46,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,6,2,0,1,3,0,37,1,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,3,12,2,1,4,0,0,0,0,0,0,0,42,0,0,0,2,23,0,0,0,0,0,0,0,14,0,0,7
5,0,31,0,1,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,4,4,37,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,44,9,15,6,0,2,0,0,0,0,0,0,0,34,0,0,0,1,25,0,0,0,0,0,0,0,19,0,0,8
1,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,0,2,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,45,0,0,5,0,1,30,3,0,11,0,6,2,0,1,3,5,0,0,0,2,0,0,0,0,44,0,0,0,2,0,0,0,0,0,25,0,0,0,5,0,0,1,0,1,0,0,0,4,0,1,0,0,11,0,2,2,2,0,0,15,9
2,0,64,0,0,20,0,0,0,0,0,30,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,8,0,0,0,0,0,12,4,9,0,6,0,2,3,0,0,0,0,39,0,0,11,9,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,2,4,7,0,0,0,4,0,0,0,1,0,0,7,0,0,0,5,10,0,0,0,10
4,0,34,1,2,39,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,3,0,0,0,3,1,28,3,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,32,17,14,5,0,0,0,0,0,0,0,0,0,38,0,0,0,3,29,1,0,0,0,0,0,0,14,0,0,11
3,1,0,0,0,0,0,80,0,0,0,0,0,16,0,0,0,37,0,0,1,5,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,0,0,0,0,4,27,32,0,0,0,0,0,0,0,0,2,24,0,7,0,0,0,0,5,2,1,0,0,3,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,3,15,5,12
3,0,7,6,0,41,0,0,14,0,0,0,1,0,0,105,0,0,0,0,7,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,11,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,1,0,0,21,0,0,0,0,0,0,0,2,1,4,6,0,0,0,2,17,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2,0,1,0,7,1,0,8,2,1,0,7,13
1,0,27,0,2,53,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,1,0,42,2,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12,12,4,1,7,0,0,0,0,0,0,0,26,0,0,0,1,23,0,0,0,0,0,0,0,22,0,1,14
4,0,0,2,23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,34,0,0,1,0,5,1,2,0,0,1,0,0,0,0,0,0,0,0,44,0,0,3,0,3,25,5,0,3,1,9,2,0,2,2,2,0,0,0,1,0,0,0,0,53,0,0,0,1,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,6,0,1,8,0,0,0,20,15
3,0,28,0,2,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,4,0,0,0,4,1,37,2,0,0,0,0,0,0,0,0,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,13,11,6,0,3,0,0,0,0,0,0,0,35,0,0,0,2,22,0,0,0,0,0,0,0,18,0,2,16
